ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
1000259AFF	TILJSZO	TIILLJSSZO	[JSZO]!{J<S||JS<Z},[TIL]!,[ILS]!{/^[^L]/}	1	1001FFAEFC	v115@9gQ4hlwhwwzhglR4glwhxwQ4ilg0Q4glwhBtR4Rpi0?whwwBtQ4RpJeAgH9gQ4hlwhwwR4ilR4glwhxwzhg0Q4glwh?wwBtglRpi0whR4BtRpJeAgH		[TJZO]!	100.00%	1/1	10002666FF
10002666FF	TILJSZO	TIILJJSZZO	[LSZO]!{L<Z||LZ<S},[TIJ]!,[IJZ]!{/^[^J]/}	1	1001FEFAFC	v115@9gg0zhwwwhh0Ati0Atxwwhg0BtRpBtR4whg0AtglRp?AtR4wwwhilJeAgH9gi0Btwwwhh0Atzhxwwhg0BtRpg0R4ww?whg0AtglRpR4BtwhilJeAgH		[TLSO]!	100.00%	1/1	1000259AFF
1000EAAAFF	TILJSZO	TILJSZO	*p7	1		v115@9gzhDeR4h0hlCeR4wwg0RpglBeBtxwg0RpglCeBtww?JeAgH+gRpQaCeg0RaQLQahlCeBPwhQLhlwwQ4AeAPQagWwS?QLglAtwwCehWwSJeAgH9gwhhWRpwwAeiHwhQaglQaQpxwxS?gHQpQawhRawwQ4AtwSgWQpAPhHwhR4iWJeAgH9gSagWQaEe?glAeAPRaEeglAegWxSEeglxwhlOeAgH		*p4	61.19%	514/840	NULL
10012AEAFF	TILJSZO	TILSZO	*p7{T<[JS]&&!JSO<Z}	1		v115@EhR4whFeR4wwwhilRpBtxwwhglBeRpAeBtwwwhJeAg?H		J,*p4	74.52%	626/840	10012BAAFF
10012BAAFF	TILJSZO	TIJSZO	*p7{T<[LZ]&&!LZO<S}	1		v115@9gwhBtGewhwwBtFewhxwR4Rpi0whwwR4AeRpBeg0Je?AgH		L,*p4	74.52%	626/840	10012AEAFF
10012EAAFE	TILJSZO	TLJSZO	*p7{!(IO<LJ||ISZ<T||3:SZ[IO]=1)}	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8EFFF1C7FFFFFFFFFFFC7D1C7FFFFFFFFC7DFFF1C71FF71C7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8EFFF1C7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC71FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC7D1C7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC71FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFC7DFFF1C7FFFFFFFFFFFFFFFFFFFFFFFFFF1C7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF1FF71C7FFFFFFFFF1C7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF		v115@9gBtEei0wwBtDeRpg0xwR4CeRpglwwR4DeilJeAgH9?ghWglDegHxhwSRaDeBtQawhgWAPwDBeAtwhglQpwhRaDehl?QpJeAgH9gCtGewhAeQpGewSAeQaGeCPQeAgH9ghWgHDeglR?LglwhgWDeQLAPgWhlwwQ4BeAPglhWQpxwDehlwhJeAgH		I,*p4	85.36%	717/840	NULL
10012EAAFF	TILJSZO	TLJSZO	*p7{!(IO<LJ||/[TO]$/||/T[LJ]$/)}	077FC1DFF77DDF077FC1DFF77FFDDFFFFFFFFF077FC1DFF77FFDDFFFFFFFFF77DDFFF77FFFFFFFFFF77DDFFF77FFFFFFFFFFFFFFFFFFFFFFFFFFFFFF077FC1DFF77DDF077FC075C777FFFFC1DFF04E77DC7FFFF77DC777F5DF77DC7E077FC1DFF77FFDDFFFFFFFFF077FC075C777FFFFC1DFF05F77F77FFFFFDDFFF71DDFFFFFFFF77FFDDF77FFFFFFFFFFFFFFFFFFFFFFFFFFFFFF077FC1DFF77FFDDFFFFFFFFF077FC139DF71FFFFC1DFF05F77F77FFFFFDDFFF77DDFFFFFFFF77FFDC777FFFFFFFFFFFFFFFFFFFFFFFFFFFFFF77DDFFF77FFFFFFFFFF77DC777F5DFFF71DDFFFFFFFF77FFDDF77FFFFFFFFFFFFFFFFFFDBFFFFFFFFFFFFC677DDFFF77FFFFFFFFFF77DDF71F9DFFF77DDFFFFFFFF77FFDC777FFFFFFFFFFFFFFFFFFDBFFFFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF1BFFFFFFFFFFFFF0		v115@ChR4i0DeR4wwRpg0CeBtxwRpglDeBtwwilJeAgH9gi?lBtxDiHglRpwwxSQLxSgHg0RpxhhlxSgWi0wwRpQLiWJeAg?H9gCtGewhAeQpGewSAeQaGeCPQeAgH9giHBPR4ilxSgHQLR?pwwglRpxSgWRahWg0RpiWQLxSwwi0JeAgH		I,*p4	84.64%	711/840	NULL
10013AAAFE	TILJSZO	ILJSZO	*p7{ILJSZO=1}	0000000000000010C70400D30001D30000000051450000000050040050040000000051450050040000000051000010C70000000400000000000000000400D30400000000000000000000000000000000000000000000000000000000000000000010C70400D30001D30000000051450010C70450D70051D70000000051450450D70010C70055C70010C70010C70410D70C30FF1C75FF0400D30410D70010C70C30FF4D71FF0001D30001D70005C71C75FF4D71FF0000000051450000000050040050040000000051450010C70450D70051D70051450051451455D71455D71455D70000000010C71455D70005C30005C30450040450D71455D70035C31175C30050040050041455D70005C31045C30000000051450050040000000051000000000051450450D70010C70055C70051450051451455D71455D71455D70450040450D71455D70035C31175C30000000010C71455D70005C30005C30051000051001455D71045C30005C30010C70000000400000000000000000010C70010C70410D70C30FF1C75FF0000000010C71455D70005C30005C30450040450D71455D70035C31175C30000000C30FF0030000030000000000000001C75FF0000000170000000000400D30400000000000000000000000400D30410D70010C70C30FF4D71FF0450040450D71455D70035C31175C30000000010C71455D70005C30005C30000000C30FF0030000030000000000000004D71FF0170000000000000000000000000000000000000000000000001D30001D70005C71C75FF4D71FF0050040050041455D70005C31045C30051000051001455D71045C30005C30000001C75FF0000000170000000000000004D71FF017000000000000000		v115@9gili0DeglAtRpQ4g0DeBtRpR4DeAtzhQ4NeAgH9gw?wRaRLgWDewwQpBewSgWDeglQpBewSQLDeglxwxhQLNeAgH		T,*p4	88.57%	744/840	NULL
10013AAAFF	TILJSZO	ILJSZO	*p7{ILJSZO=1}	03F34D00DFC7FFFFFFFFFFFF347FFF03F34D000000FFFFFF340FD3340FD300DFC7000000340FD3FFFFFF1C04FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF347FFF340FD31C04FFFFFFFFFFFFFF03F34D00DFC7FFFFFFFFFFFF347FFF03F34D03FFCFFFFFFFFFFFFF34FFFF00DFC703FFCFFFFFFFFFFFFF1CFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF347FFF34FFFF1CFFFFFFFFFFFFFFFF03F34D000000FFFFFF340FD3340FD303F34D03FFCFFFFFFFFFFFFF34FFFF00000003FFCFFFFFFFFFFFFF00FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF340FD334FFFF00FFFFFFFFFFFFFFFF00DFC7000000340FD3FFFFFF1C04FF00DFC703FFCFFFFFFFFFFFFF1CFFFF00000003FFCFFFFFFFFFFFFF00FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF1C04FF1CFFFF00FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF347FFF340FD31C04FFFFFFFFFFFFFF347FFF34FFFF1CFFFFFFFFFFFFFFFF340FD334FFFF00FFFFFFFFFFFFFFFF1C04FF1CFFFF00FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF		v115@Dhi0whGeQ4g0whilRpBtR4whglBeRpAeBtQ4whJeAg?H9gwhilFewhglAtCeiHQawhBtR4RpQaAewwQaAtQ4AtwSQp?QaAPwDwwJeAgH		T,*p4	69.88%	587/840	NULL
10016AEBFE	TILJSZO	TILSZ	*p6{TILSZ=1}	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFCBCC3ECB2FF2038FFFF3003F000FFFFB2E3F038FF2038FFFFFFFFFFFFFFFCBCC3ECB2FF2038FFFF3003F000FFFFB2E3F038FF2038FFFFFFFF2038FF2038000000FF8E00FFFFFFFFFFFFFFFF3003F000FFFF3003F000000000FFFFC0FC0000000000FFFFFFFFFFFFFFFFB2E3F038FFFFB2E3F038FF8E00FFFFC0FC0000FF8E00FFFFFFFF2038FF2038000000FF8E00		v115@EhR4whFeR4wwwhilBeBtxwwhglEeBtwwwhJeAgH		[^TILSZ]!,*p4	86.43%	1452/1680	10016BABFE
