ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror	Minimals
201DAABFFC	TILJ	TILJ	[TILJ]!	1		v115@GhwhDeglCeg0whDeglywg0whDehlwwh0whJeAgH		*p7	100.00%	5040/5040	NULL	
201DAABFFD	TILJ	TILJ	[TILJ]!	1		v115@Jhg0glHeg0glywDeh0hlwwzhJeAgH		*p7	100.00%	5040/5040	NULL	
201DAABFFE	TILJ	TILJ	[TILJ]!	1		v115@Khg0Feili0wwCeglzhywLeAgH		*p7	99.84%	5032/5040	NULL	
201DAABFFF	TILJ	TILJ	[TILJ]!	1		v115@Ghg0DeglAewwBeg0Deglywh0DehlzhJeAgH9gglHeg?HglBewwgWg0QLBegHhlxwQpwhRLhHzhBtTaJeAgH		*p7	98.33%	4956/5040	NULL	
201DFABFFE	TILJ	ILJ	[TILJ]!	1		v115@HhglHeg0glHeg0hlAezhAeh0JeAgH		T,*p7	100.00%	5040/5040	NULL	
201DFABFFF	TILJ	ILJ	[TILJ]!	1		v115@Rhg0Hegli0zhilJeAgH		T,*p7	100.00%	5040/5040	NULL	
202DAAEFFC	TILS	TILS	[TILS]!	110011111111001111111111		v115@9gwwIexwCeglDewwR4ilDeR4zhNeAgH		*p7	100.00%	5040/5040	2055ABBBFC	
202DAAEFFD	TILS	TILS	[TILS]!	1		v115@JhglGeilBeR4wwBezhR4ywKeAgH		*p7	100.00%	5040/5040	2055ABBBFD	
202DAAEFFE	TILS	TILS	[TILS]!	1		v115@GhwhglQ4FewwwhglR4DexwwhhlQ4EewwwhJeAgH		*p7	100.00%	5040/5040	2055ABBBFE	
202DAAEFFF	TILS	TILS	[TILS]!	111110111111111111101111		v115@/gQ4IeR4AewwDeilQ4xwDeglzhwwNeAgH		*p7	98.33%	4956/5040	2055ABBBFF	
2035AAFBFA	TILZ	TILZ	[TILZ]!	1		v115@9gwhIewhglCewwDewhglBtxwDewhhlBtwwNeAgH		*p7	100.00%	5040/5040	204DABAFFA	
2035AAFBFB	TILZ	TILZ	[TILZ]!	1		v115@GhwhDeglCewwwhDeglBtxwwhDehlBtwwwhJeAgH		*p7	100.00%	5040/5040	204DABAFFB	
2035AAFBFC	TILZ	TILZ	[TILZ]!	111111111111111110111110		v115@JhglGeilBewwBtBezhywBtKeAgH		*p7	100.00%	5040/5040	204DABAFFC	
2035AAFBFD	TILZ	TILZ	[TILZ]!	1		v115@NhwwglEeBtxwglBezhBtwwhlKeAgH		*p7	100.00%	5040/5040	204DABAFFD	
2035AAFBFE	TILZ	TILZ	[TILZ]!	1		v115@9gwhIewhglGewwwhglBtDexwwhhlBtDewwJeAgH		*p7	100.00%	5040/5040	204DABAFFE	
2035AAFBFF	TILZ	TILZ	[TILZ]!	110011111111001111111111		v115@ChwwFeglAexwDeilBtwwDezhBtNeAgH		*p7	97.14%	4896/5040	204DABAFFF	
2035FAFBFF	TILZ	ILZ	[TILZ]!	101100101101111111000111		v115@HhglIeglBtGehlBtAezhKeAgH		T,*p7	100.00%	5040/5040	204DFBAFFF	
2039AAFEFC	TILO	TILO	[TILO]!	1		v115@OhglDewwBeilRpAeywzhRpJeAgH		*p7	100.00%	5040/5040	2059ABBEFC	
2039AAFEFD	TILO	TILO	[TILO]!	1		v115@9gRpHeRpGewwilEexwglzhDewwJeAgH		*p7	100.00%	5040/5040	2059ABBEFD	
2039AAFEFE	TILO	TILO	[TILO]!	1		v115@9gwhIewhwwFehlwhxwDeRpglwhwwEeRpglJeAgH		*p7	100.00%	5040/5040	2059ABBEFE	
