ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror
6005BAAFFB	TILJSZ	ILJS	[TILJSZ]p5{ILJS=1}	1004C0106016F40F04006006F000004D6F46F3FFD3000F0003FFC01004C0		v115@9gwhQ4hlFewhR4glFewhg0Q4glFewhi0PeAgH		[TZ]!,*p5	98.65%	4972/5040	6005BABBFB
6005BAAFFC	TILJSZ	ILJS	[TILJSZ]p5{ILJS=1}	41300C416F4600F0104D6F46F3FFD3006006F00F0030F03FFC0F0C41300C		v115@9gwhi0FewhglQ4g0FewhglR4FewhhlQ4PeAgH		[TZ]!,*p5	98.65%	4972/5040	6005BABBFC
6005BAAFFD	TILJSZ	ILJS	[TILJSZ]p5{ILJS=1}	4D303F4D6F46F3FFD34D6F46F3FFD3006F06F3FFC0FFFFFFFFFFFF4D303F		v115@9gwhFei0whFeglQ4g0whFeglR4whFehlQ4JeAgH		[TZ]!,*p5	98.65%	4972/5040	6005BABBFD
6005BAAFFE	TILJSZ	ILJS	[TILJSZ]p5{ILJS=1}	005100006606000000146616F56F45106016F40F04000016F40F00005100		v115@9gzhFeh0R4Feg0R4glFeg0ilPeAgH		[TZ]!,*p5	98.65%	4972/5040	6005BABBFE
6005BAAFFF	TILJSZ	ILJS	[TILJSZ]p5{ILJS=1}	B2CFC0B2F6BFFC6F2CB2F6BFFC6F2CFFFFFFFFFFFF006F06F3FFC0B2CFC0		v115@9gwhQ4HewhR4Gewhg0Q4Feglwhi0CeilJeAgH		[TZ]!,*p5	96.90%	4884/5040	6005BABBFF
6005BABBFB	TILJSZ	ILJZ	[TILJSZ]p5{ILJZ=1}	4130004137C30103C04D37C33D3FFF0030033C000041300000F03FFC0000		v115@Dhh0AtwhFeg0BtwhFeg0AtglwhFeilwhJeAgH		[TS]!,*p5	98.65%	4972/5040	6005BAAFFB
6005BABBFC	TILJSZ	ILJZ	[TILJSZ]p5{ILJZ=1}	1004C31030137C403C0030033C003C4D37C33D3FFF1004C30C0F00F3FFC3		v115@DhilwhFeglAtg0whFeBtg0whFeAth0whJeAgH		[TS]!,*p5	98.65%	4972/5040	6005BAAFFC
6005BABBFD	TILJSZ	ILJZ	[TILJSZ]p5{ILJZ=1}	1C04FF1C33D37C7FFF0033C33C0FFF4D37C33D3FFF1C04FFFFFFFFFFFFFF		v115@9gilFewhglAtg0FewhBtg0FewhAth0FewhJeAgH		[TS]!,*p5	98.65%	4972/5040	6005BAAFFD
6005BABBFE	TILJSZ	ILJZ	[TILJSZ]p5{ILJZ=1}	0041400030031800001030137C403C1431937C55BD004140000000F16F40		v115@DhzhFeBthlFeg0BtglFei0glJeAgH		[TS]!,*p5	98.65%	4972/5040	6005BAAFFE
6005BABBFF	TILJSZ	ILJZ	[TILJSZ]p5{ILJZ=1}	E3FB00E3FFEF9B83D8FFFFFFFFFFFFB2F9BFFEC1BCE3FB0000F63FFC6F00		v115@FhAtwhGeBtwhg0FeAtglwhi0CeilwhJeAgH		[TS]!,*p5	96.90%	4884/5040	6005BAAFFF
