ID	Leftover	Build	Cover Dependence	Cover Data	Previous Setup	Setup	Next Setup	Pieces	Solve %	Solve Fraction	Mirror	1st Minimals	8th Minimals	Good Save %	T>X	L>[OSZ]	I>[OSZ]	O>[SZ]	X>[SZ]	X>O	Credit
703D66EFFF	TIL	TIILS	[TIL]!,*p3{IS=1}	1		v115@9gwhIewhwwHewhxwR4zhglwhwwR4CeilJeAgH		[^IS]!,*	100.00%	840/840	705D67BBFF	v115@9gA8ywilAtRpB8wwi0BtRpN8glg0AtC8JeAgWZARY0?vAQo78A1no2AFb2RBUIiRBUo78AZAAAA		57.14%	57.14%	0.00%	0.00%	0.00%	28.57%	14.29%	jan Ewan
703DA6FFFB	TIL	TIIL	[TIL]!,*p2{I=1}	1		v115@9gwhGehlwhHeglwhGewwgl0hBeywJeAgH		[^I]!,*	100.00%	5040/5040	705DA7BFFB	v115@9gA8h0hlwwBtC8g0RpglxwBtB8g0RpglwwR4G8R4C8?JeAgWaAX+35A3ngHBFbcRASUTOBTUaHBQecRAylAAA9gA8R?pi0BtC8RpglQ4g0wwBtB8ilR4xwG8Q4wwC8JeAAPaAX4P9A?4ngHBFbcRASUjHBULaHBQecRAylAAA9gA8h0AtR4glwwC8g?0BtilxwB8g0AtR4RpwwG8RpC8JeAAPaAV4f2AwngHBFbcRA?SEhHBSIaHBQecRAylAAA		44.44%	15.87%	28.57%	0.00%	20.75%	28.57%	0.00%	jan Ewan
703DA6FFFC	TIL	TIIL	[TIL]!,*p2{I=1}	1		v115@9gwwIexwHewwzhDeglzhCeilJeAgH		[^I]!,*	100.00%	5040/5040	705DA7BFFC	v115@9gA8ywR4ilAtB8wwR4g0RpBtE8g0RpAtE8h0glC8Je?AgWaAWBwKB3ngHBFbcRASUzABWIaHBQecRAylAAA9gA8ywi?0glRpB8wwBtQ4g0glRpE8R4hlE8BtQ4C8JeAAPaA18nABzn?gHBFbcRASE5KBYUaHBQecRAylAAA9gA8ywg0glR4RpB8wwi?lBtRpE8R4BtE8i0C8JeAAPaAz8nABzngHBFbcRAS02KBYIa?HBQecRAylAAA9gA8Btywglg0R4B8Btili0E8RpR4E8wwRpC?8JeAAPaAS7P9AyngHBFbcRAS0+5ASIaHBQecRAylAAA		24.05%	16.79%	10.71%	0.00%	6.19%	14.76%	0.00%	jan Ewan
703DA6FFFD	TIL	TIIL	[TIL]!,*p2{I=1}	1		v115@FhxhwwGexhxwEeglxhwwDeilxhJeAgH		[^I]!,*	100.00%	5040/5040	705DA7BFFD	v115@9gBtywglRpC8Btwwg0glRpD8R4g0hlD8R4h0E8JeAg?WaAY+35A3ngHBFbcRASkd9AULaHBQecRAylAAA9gBti0glR?pC8BtQ4g0glRpD8wwR4hlD8ywQ4E8JeAAPaAWBwKB3ngHBF?bcRASUzABWIaHBQecRAylAAA		31.67%	15.71%	13.45%	0.00%	23.33%	23.57%	0.00%	jan Ewan
703DA6FFFE	TIL	TIIL	[TIL]!,*p2{I=1}	1		v115@9gxhHexhglFewwxhglEexwxhhlEewwJeAgH		[^I]!,*	100.00%	5040/5040	705DA7BFFE	v115@9gB8hlg0ywR4C8gli0R4D8glRpBtF8RpwwBtA8JeAg?WaA1F45A3ngHBFbcRASEBVBYLaHBQecRAylAAA9gB8BtRph?0R4C8Btglg0R4D8ilg0wwF8RpywA8JeAAPaAVBwKB3ngHBF?bcRASEpRBVRaHBQecRAylAAA9gB8BtRpQ4ywC8BtglR4wwD?8ilg0Q4F8Rpi0A8JeAAPaAz8nABzngHBFbcRAS02KBYIaHB?QecRAylAAA9gB8i0ilR4C8RpglAtR4D8RpBtwwF8g0AtywA?8JeAAA		38.06%	14.40%	7.54%	0.00%	25.91%	26.63%	4.53%	jan Ewan
703DA6FFFF	TIL	TIIL	[TIL]!,*p2{I=1}	1		v115@9gwhIewhwwHewhxwBezhglwhwwEeilJeAgH		[^I]!,*	100.00%	5040/5040	705DA7BFFF	v115@9gA8ywi0glRpB8wwBtilRpC8R4G8R4Btg0C8JeAgWa?AVBwKB3ngHBFbcRASEpRBVRaHBQecRAylAAA9gA8Bthlg0R?4RpB8Btgli0RpC8wwglG8ywR4C8JeAAPaAV4f2AwngHBFbc?RASEhHBSIaHBQecRAylAAA9gA8ywAtg0R4RpB8wwBti0RpC?8AtglG8ilR4C8JeAAPaAz8nABzngHBFbcRAS02KBYIaHBQe?cRAylAAA9gA8hlQ4ywAtRpB8glR4wwBtRpC8g0Q4G8gli0A?tC8JeAAPaAS4f2AwngHBFbcRAS0m2AQUaHBQecRAylAAA		45.87%	36.43%	15.63%	0.00%	0.00%	24.40%	10.52%	Algebruh
703DA9FFFC	TIL	TILL	[TIL]!,*p2{L=1}	1		v115@9gwhhlGewhhlFewwwhhlEexwwhhlFewwJeAgH		[^L]!,*	100.00%	5040/5040	705DAB7FFC	v115@9gC8h0ywR4C8g0RpwwR4D8g0RpBtE8zhBtA8JeAgWa?AW4f2AwngHBFbcRASUr2ASOaHBQecRAylAAA9gC8whg0ywR?4C8whi0R4D8whRpBtE8whRpwwBtA8JeAAPaA1F45A3ngHBF?bcRASEBVBYLaHBQecRAylAAA9gC8h0RpywC8g0zhwwD8g0R?4BtE8R4RpBtA8JeAAPaATBwKB3ngHBFbcRAS0mRBUUaHBQe?cRAylAAA9gC8g0zhR4C8i0AtR4D8RpBtwwE8RpAtywA8JeA?APaAz8nABzngHBFbcRAS02KBYIaHBQecRAylAAA9gC8whRp?BtR4C8whRpwwR4D8whg0ywE8whi0BtA8JeAAPaASBwKB3ng?HBFbcRAS0uABUOaHBQecRAylAAA9gC8Q4BtzhC8R4BtRpD8?g0Q4ywE8i0wwRpA8JeAAPaAS7P9AyngHBFbcRAS0+5ASIaH?BQecRAylAAA		39.52%	19.44%	5.52%	5.28%	26.87%	28.10%	5.71%	jan Ewan
703DA9FFFD	TIL	TILL	[TIL]!,*p2{L=1}	1		v115@9gilGeglwwHeywFeglzhCeilJeAgH		[^L]!,*	100.00%	5040/5040	705DAB7FFD	v115@9gC8R4wwwhi0B8R4xwwhRpg0C8BtwwwhRpE8BtwhC8?JeAgWaAX+35A3ngHBFbcRASUTOBTUaHBQecRAylAAA9gC8R?4whBtRpB8R4wwwhh0RpC8xwwhg0BtE8wwwhg0C8JeAAPaAX?4f2AwngHBFbcRASUjHBSUaHBQecRAylAAA		57.54%	24.09%	18.45%	24.33%	18.65%	26.35%	7.10%	jan Ewan
703DA9FFFE	TIL	TILL	[TIL]!,*p2{L=1}	1		v115@FhhlwwGehlxwDejlwwEezhJeAgH		[^L]!,*	100.00%	5040/5040	705DAB7FFE	v115@9gBtywwhRpC8Btwwg0whRpD8R4g0whE8R4h0whD8Je?AgWaAZBoAB5ngHBFbcRASktRBVUaHBQecRAylAAA9gBti0w?hRpC8BtQ4g0whRpD8wwR4whE8ywQ4whD8JeAAPaAWBwKB3n?gHBFbcRASUzABWIaHBQecRAylAAA		38.45%	6.35%	23.65%	26.79%	0.00%	26.31%	12.14%	jan Ewan
703DA9FFFF	TIL	TILL	[TIL]!,*p2{L=1}	1		v115@9gwhglHewhglGewwwhilDexwwhilEewwJeAgH		[^L]!,*	100.00%	5040/5040	705DAB7FFF	v115@9gB8RpwhywR4B8Rpwhh0R4E8whg0BtF8whg0wwBtA8?JeAgWaA55vKB3ngHBFbcRASk9KBSIaHBQecRAylAAA9gB8R?pwhh0ywB8Rpwhg0BtwwE8whg0R4F8whR4BtA8JeAAPaAWBw?KB3ngHBFbcRASUzABWIaHBQecRAylAAA		46.39%	10.79%	23.65%	22.86%	18.77%	27.66%	12.22%	jan Ewan
